Código e descrição do alimento ,,Código e descrição da preparação,,Energia (kcal),"Proteína (g)","Lipídios totais (g)","Carboidrato (g)",Fibra alimentar total (g)
8100502,Hambúrguer de carne bovina,2,Cozido(a),214.00,26.62,11.10,-,-
8100502,Hambúrguer de carne bovina,3,Grelhado(a)/brasa/churrasco,214.00,26.62,11.10,-,-
8100502,Hambúrguer de carne bovina,4,Assado(a),214.00,26.62,11.10,-,-
8100502,Hambúrguer de carne bovina,5,Frito(a),236.66,26.62,13.66,-,-
8100502,Hambúrguer de carne bovina,8,Molho vermelho,176.00,21.56,8.92,1.08,0.30
8100502,Hambúrguer de carne bovina,99,Não se aplica,214.00,26.62,11.10,-,-
8100802,Copa de porco defumada,99,Não se aplica,248.66,20.53,17.76,0.42,-
8101005,Bacon,99,Não se aplica,541.00,37.04,41.78,1.43,-
8101101,Hambúrguer de frango,2,Cozido(a),206.14,16.19,9.71,12.64,0.61
8101101,Hambúrguer de frango,3,Grelhado(a)/brasa/churrasco,206.14,16.19,9.71,12.64,0.61
8101101,Hambúrguer de frango,4,Assado(a),206.14,16.19,9.71,12.64,0.61
8101101,Hambúrguer de frango,5,Frito(a),266.67,16.19,16.55,12.64,0.61
8101101,Hambúrguer de frango,6,Empanado(a)/à milanesa,266.67,16.19,16.55,12.64,0.61
8101101,Hambúrguer de frango,99,Não se aplica,206.14,16.19,9.71,12.64,0.61
8102101,Salsicha no varejo,1,Cru(a),321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,2,Cozido(a),321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,3,Grelhado(a)/brasa/churrasco,321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,4,Assado(a),321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,5,Frito(a),321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,7,Refogado(a),321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,8,Molho vermelho,289.43,8.56,26.10,4.74,0.04
8102101,Salsicha no varejo,9,Molho branco,321.60,11.30,29.04,3.24,0.30
8102101,Salsicha no varejo,10,Ao alho e óleo,321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,11,Com manteiga/óleo,321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,13,Ensopado,321.05,9.72,29.51,3.61,-
8102101,Salsicha no varejo,99,Não se aplica,321.05,9.72,29.51,3.61,-
8102204,"Linguiça (suína, bovina, mista, etc.)",1,Cru(a),396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",2,Cozido(a),396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",3,Grelhado(a)/brasa/churrasco,396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",4,Assado(a),396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",5,Frito(a),396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",6,Empanado(a)/à milanesa,396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",7,Refogado(a),396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",8,Molho vermelho,321.60,11.30,29.04,3.24,0.30
8102204,"Linguiça (suína, bovina, mista, etc.)",11,Com manteiga/óleo,396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",13,Ensopado,396.00,13.80,36.25,2.70,-
8102204,"Linguiça (suína, bovina, mista, etc.)",99,Não se aplica,396.00,13.80,36.25,2.70,-
8102207,Linguiça de frango,1,Cru(a),244.00,18.20,18.40,-,-
8102207,Linguiça de frango,2,Cozido(a),244.00,18.20,18.40,-,-
8102207,Linguiça de frango,3,Grelhado(a)/brasa/churrasco,244.00,18.20,18.40,-,-
8102207,Linguiça de frango,4,Assado(a),244.00,18.20,18.40,-,-
8102207,Linguiça de frango,5,Frito(a),245.00,18.30,18.50,-,-
8102401,Chouriço,99,Não se aplica,379.00,14.60,34.50,1.29,-
8102402,Morcela,99,Não se aplica,379.00,14.60,34.50,1.29,-
8102403,Morcilha,1,Cru(a),379.00,14.60,34.50,1.29,-
8102403,Morcilha,2,Cozido(a),379.00,14.60,34.50,1.29,-
8102501,Paio,2,Cozido(a),339.00,19.43,28.36,-,-
8102601,Mortadela,99,Não se aplica,307.00,11.10,27.70,3.20,-
8102701,Salame,99,Não se aplica,336.00,21.85,25.90,2.40,-
8102702,Salaminho,99,Não se aplica,336.00,21.85,25.90,2.40,-
8102801,Blanquet de peru,99,Não se aplica,126.00,17.50,4.84,2.04,0.20
8102901,Presunto ,99,Não se aplica,226.00,20.53,15.20,0.42,-
8103001,Hambúrguer de peru,2,Cozido(a),195.96,16.61,8.35,12.64,0.61
8103001,Hambúrguer de peru,4,Assado(a),195.96,16.61,8.35,12.64,0.61
8103001,Hambúrguer de peru,6,Empanado(a)/à milanesa,256.49,16.61,15.20,12.64,0.61
8103101,Hambúrguer não especificado,2,Cozido(a),214.00,26.62,11.10,-,-
8103101,Hambúrguer não especificado,3,Grelhado(a)/brasa/churrasco,214.00,26.62,11.10,-,-
8103101,Hambúrguer não especificado,4,Assado(a),214.00,26.62,11.10,-,-
8103101,Hambúrguer não especificado,5,Frito(a),236.66,26.62,13.66,-,-
8103101,Hambúrguer não especificado,99,Não se aplica,214.00,26.62,11.10,-,-
8103601,Apresuntado,99,Não se aplica,178.00,22.62,9.02,-,-
8103901,Pururuca de porco,99,Não se aplica,544.00,61.30,31.30,-,-
8103902,Pele de porco preparada (pururuca),99,Não se aplica,544.00,61.30,31.30,-,-
8104001,"Patê (fígado, calabresa, frango, presunto, etc.)",99,Não se aplica,326.00,14.10,28.50,2.20,-
8104101,Carne de aves defumada,99,Não se aplica,195.66,30.91,7.07,-,-
8104601,Carne salgada não especificada,2,Cozido(a),313.00,26.90,21.90,-,-
8104601,Carne salgada não especificada,3,Grelhado(a)/brasa/churrasco,313.00,26.90,21.90,-,-
8104601,Carne salgada não especificada,4,Assado(a),313.00,26.90,21.90,-,-
8104601,Carne salgada não especificada,5,Frito(a),347.00,25.29,26.56,-,-
8104601,Carne salgada não especificada,7,Refogado(a),347.00,25.29,26.56,-,-
8104601,Carne salgada não especificada,8,Molho vermelho,255.20,21.78,17.56,1.08,0.30
8104601,Carne salgada não especificada,99,Não se aplica,313.00,26.90,21.90,-,-
8104904,Mini chicken empanado,2,Cozido(a),273.02,16.24,15.63,15.91,0.64
8104904,Mini chicken empanado,3,Grelhado(a)/brasa/churrasco,273.02,16.24,15.63,15.91,0.64
8104904,Mini chicken empanado,4,Assado(a),273.02,16.24,15.63,15.91,0.64
8104904,Mini chicken empanado,5,Frito(a),273.02,16.24,15.63,15.91,0.64
8104904,Mini chicken empanado,6,Empanado(a)/à milanesa,273.02,16.24,15.63,15.91,0.64
8105001,Mortadela light,99,Não se aplica,211.00,13.06,16.06,3.45,-
8105201,Salsicha no varejo light,5,Frito(a),154.00,11.00,10.00,4.40,-
8105401,Salame light,99,Não se aplica,145.18,14.70,8.94,0.50,-
8105501,Blanquet de peru light,99,Não se aplica,124.12,14.99,3.57,7.11,-
8105701,Hambúrguer não especificado light,99,Não se aplica,190.00,27.03,8.26,-,-
8200101,Refrigerante de cola tradicional,99,Não se aplica,36.87,0.07,0.02,9.53,-
8200102,Coca-cola tradicional,99,Não se aplica,36.87,0.07,0.02,9.53,-
8200202,Fanta laranja tradicional,99,Não se aplica,48.00,-,-,12.30,-
8200208,Sukita tradicional,99,Não se aplica,48.00,-,-,12.30,-
8200301,Refrigerante de guaraná tradicional,99,Não se aplica,39.00,-,-,10.00,-
8200302,Guaraná tradicional,99,Não se aplica,39.00,-,-,10.00,-
8200407,Sprit refrigerante tradicional,99,Não se aplica,40.00,0.05,0.02,10.14,-
8200505,Fanta uva tradicional,99,Não se aplica,48.00,-,-,12.30,-
8200701,Refrigerante de cola light,99,Não se aplica,2.00,0.11,0.03,0.29,-
8200702,Coca-cola light,99,Não se aplica,2.00,0.11,0.03,0.29,-
8200801,Refrigerante de cola diet,99,Não se aplica,2.00,0.11,0.03,0.29,-
8200902,Minuano tradicional,99,Não se aplica,40.00,0.05,0.02,10.14,-
8201104,Mate tradicional,99,Não se aplica,2.80,0.25,-,2.31,1.86
8201202,Bidu tradicional,99,Não se aplica,39.00,-,-,10.00,-
8201502,Fanta laranja light,99,Não se aplica,-,0.10,-,-,-
8201601,Refrigerante de guaraná light,99,Não se aplica,-,-,-,-,-
8201602,Guaraná light,99,Não se aplica,-,-,-,-,-
8201802,Tubaína tradicional,99,Não se aplica,39.00,-,-,10.00,-
8201902,Tubaína light,99,Não se aplica,2.00,0.11,0.03,0.29,-
8202001,Caldo de cana,99,Não se aplica,73.58,-,0.05,19.97,-
8202002,Garapá,99,Não se aplica,73.58,-,0.05,19.97,-
8202101,Água de coco,99,Não se aplica,19.27,0.73,0.20,3.76,1.12
8202402,Q-suco,99,Não se aplica,15.28,-,0.00,3.91,-
8202403,Q-refresko,99,Não se aplica,15.28,-,0.00,3.91,-
8202602,Nescafé,99,Não se aplica,241.00,12.20,0.50,75.40,-
8202803,Erva-mate,99,Não se aplica,2.80,0.25,-,2.31,1.86
8202804,Chimarrão,99,Não se aplica,2.80,0.25,-,2.31,1.86
8202805,Tereré,99,Não se aplica,2.80,0.25,-,2.31,1.86
8203401,Levedo de cerveja,99,Não se aplica,170.00,16.20,1.30,28.10,11.50
8203501,Refrigerante não especificado,99,Não se aplica,36.87,0.07,0.02,9.53,-
8203603,Cevada em pó,99,Não se aplica,352.00,9.91,1.16,77.72,15.60
8204503,Chocomilk ,99,Não se aplica,83.32,3.18,3.40,10.38,0.80
8204902,Água tônica tradicional,99,Não se aplica,40.02,0.05,0.02,10.14,-
8205201,"Chá diet (preto, camomila, erva-cidreira, capim-limão, etc.) ",99,Não se aplica,2.52,0.01,-,0.67,-
8205402,Paraguai refrigerante tradicional,99,Não se aplica,39.00,-,-,10.00,-
8205803,Gatorade,99,Não se aplica,27.01,-,0.10,6.76,-
8205901,Bebida energética,99,Não se aplica,45.35,0.25,0.08,11.03,-
8206301,"Chá (preto, camomila, erva-cidreira, capim-limão, etc.)",99,Não se aplica,1.00,-,-,0.30,-
8206402,Café solúvel capuccino ,99,Não se aplica,27.71,0.26,0.84,5.17,0.13
8207401,Refrigerante de guaraná diet,99,Não se aplica,-,-,-,-,-
8207402,Guaraná diet,99,Não se aplica,-,-,-,-,-
8207601,Refrigerante de limão diet,99,Não se aplica,-,0.10,-,-,-
8207705,Fanta uva light,99,Não se aplica,-,0.10,-,-,-
8208104,Mate light,99,Não se aplica,2.80,0.25,-,2.31,1.86
8209002,Água tônica light,99,Não se aplica,40.02,0.05,0.02,10.14,-
8209102,Paraguai refrigerante light,99,Não se aplica,2.00,0.11,0.03,0.29,-
8211002,Q-suco light,99,Não se aplica,15.28,-,0.00,3.91,-
8211003,Q-refresko light,99,Não se aplica,15.28,-,0.00,3.91,-
8211102,Q-suco diet,99,Não se aplica,15.28,-,0.00,3.91,-
8212401,Café capuccino solúvel light,99,Não se aplica,12.77,0.14,1.00,0.91,0.05
8212501,Café capuccino solúvel diet,99,Não se aplica,12.77,0.14,1.00,0.91,0.05
8212902,Água tônica diet,99,Não se aplica,40.02,0.05,0.02,10.14,-
8212906,Refrigerante de quinino dietético,99,Não se aplica,40.02,0.05,0.02,10.14,-
8213003,Chá mate orgânico,99,Não se aplica,2.80,0.25,-,2.31,1.86
8213004,Chimarrão orgânico,99,Não se aplica,2.80,0.25,-,2.31,1.86
8213601,Suco de clorofila,99,Não se aplica,1.87,0.24,0.02,0.31,0.20
8273902,Café com farinha,99,Não se aplica,181.00,0.86,0.16,44.19,3.44
8300101,Cerveja (com ou sem álcool),99,Não se aplica,43.19,0.46,-,3.57,-
8300201,Chopp,99,Não se aplica,43.19,0.46,-,3.57,-
8300301,Aguardente,99,Não se aplica,216.00,-,-,-,-
8300302,Cachaça,99,Não se aplica,216.00,-,-,-,-
8300501,Batida de qualquer sabor,99,Não se aplica,187.38,0.54,3.69,22.14,0.32
8300701,Rum,99,Não se aplica,230.18,-,-,-,-
8300801,Vodka,99,Não se aplica,217.15,-,-,-,-
8301001,Uísque,99,Não se aplica,230.18,-,-,-,-
8301002,Whisky,99,Não se aplica,230.18,-,-,-,-
8301201,Champanhe,99,Não se aplica,82.00,0.07,-,2.60,-
8301202,Sidra champanhe,99,Não se aplica,82.00,0.07,-,2.60,-
8301501,Martini,99,Não se aplica,194.44,0.01,-,0.53,-
8301601,Conhaque,99,Não se aplica,231.00,-,-,-,-
8301701,Drink dreher,99,Não se aplica,216.00,-,-,-,-
8301901,Licor de qualquer sabor,99,Não se aplica,282.65,-,-,33.64,-
8302409,Cajuína,99,Não se aplica,45.00,0.80,-,11.50,1.50
8302415,Vinho,99,Não se aplica,84.50,0.07,-,2.60,-
8302416,Catuaba,99,Não se aplica,216.00,-,-,-,-
8302901,Coquetel de frutas,99,Não se aplica,187.38,0.54,3.69,22.14,0.32
8303101,Caipirinha,99,Não se aplica,143.90,0.10,0.10,37.90,0.10
8303501,Bebida alcoólica ,99,Não se aplica,216.00,-,-,-,-
8303615,Vinho orgânico,99,Não se aplica,84.50,0.07,-,2.60,-
8304301,Cerveja (com ou sem álcool) light,99,Não se aplica,29.00,0.24,-,1.64,-
8304502,Caxiri (aguardente de mandioca),99,Não se aplica,216.00,-,-,-,-
8400101,Azeite de oliva,99,Não se aplica,887.81,-,100.43,-,-
8400301,Óleo de soja,99,Não se aplica,879.73,-,99.52,-,-
8401801,Banha suína,99,Não se aplica,902.00,-,100.00,-,-
8403001,Banha bovina,99,Não se aplica,680.00,10.65,70.33,-,-
8403201,Óleo não especificado,99,Não se aplica,879.73,-,99.52,-,-
8403501,Óleo de dendê,99,Não se aplica,857.84,-,99.52,-,-
8500201,Salgadinho,99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500202,"Pastel (queijo, carne, palmito, etc.)",99,Não se aplica,319.81,10.38,15.68,33.51,1.45
8500203,Croquete ,99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500205,Coxinha ,99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500206,"Empada (queijo, carne, camarão, etc.)",99,Não se aplica,153.96,7.89,7.91,12.47,1.03
8500207,"Rissole  (queijo, carne, camarão, etc.)",99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500209,Acarajé,99,Não se aplica,289.00,8.30,19.90,19.10,9.40
8500210,Torresmo ,99,Não se aplica,544.00,61.30,31.30,-,-
8500211,Quibe ,99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500212,Abará (Bahia),99,Não se aplica,289.00,8.30,19.90,19.10,9.40
8500213,Paçoca de carne de sol,99,Não se aplica,354.00,13.44,13.43,43.95,3.20
8500215,Angu frito,99,Não se aplica,74.60,1.45,1.78,13.00,0.26
8500217,Angu de milho ,99,Não se aplica,60.58,1.44,0.20,13.00,0.26
8500218,Polenta ,99,Não se aplica,74.60,1.45,1.78,13.00,0.26
8500222,Esfirra ,99,Não se aplica,359.42,9.76,18.88,37.51,1.46
8500223,Esfirra de carne ,99,Não se aplica,346.45,11.90,21.38,26.20,1.08
8500224,Esfirra de queijo ,99,Não se aplica,359.42,9.76,18.88,37.51,1.46
8500225,Esfirra de ricota ,99,Não se aplica,320.39,7.54,15.25,38.09,1.46
8500226,Esfirra de frango ,99,Não se aplica,222.39,9.47,12.71,17.32,0.78
8500227,Enroladinho ,99,Não se aplica,274.60,13.41,16.88,16.54,0.88
8500228,Bolinho de aipim,99,Não se aplica,212.64,6.28,13.11,18.51,2.72
8500232,Bolinho de bacalhau,99,Não se aplica,214.01,16.70,12.75,7.69,0.83
8500302,Cachorro-quente ,99,Não se aplica,272.47,8.73,15.22,24.80,1.09
8500303,Hambúrguer (sanduíche),99,Não se aplica,267.16,13.08,9.22,32.36,1.68
8500304,Cheeseburger ,99,Não se aplica,279.85,14.15,11.81,28.74,1.49
8500305,Eggsburger ,99,Não se aplica,269.44,13.28,16.10,17.42,0.64
8500307,Bauru ,99,Não se aplica,229.47,13.67,13.00,13.97,0.78
8500308,Americano,99,Não se aplica,236.68,10.05,14.22,16.85,1.00
8500313,Misto-quente ou frio ,99,Não se aplica,265.42,16.29,13.78,18.30,0.85
8500315,Sanduíche de queijo prato,99,Não se aplica,329.29,12.22,17.24,31.09,1.45
8500316,Sanduíche de salame,99,Não se aplica,282.99,8.97,13.74,30.27,1.40
8500317,Sanduíche de presunto,99,Não se aplica,230.33,10.97,12.15,18.73,1.11
8500318,Sanduíche de queijo prato com presunto,99,Não se aplica,265.42,16.29,13.78,18.30,0.85
8500319,Sanduíche de mortadela,99,Não se aplica,315.97,8.60,16.56,32.81,1.45
8500320,Sanduíche de queijo minas,99,Não se aplica,329.29,12.22,17.24,31.09,1.45
8500321,Cheese egg,99,Não se aplica,279.85,14.15,11.81,28.74,1.49
8500322,Cheese tudo,99,Não se aplica,279.85,14.15,11.81,28.74,1.49
8500323,Sanduíche natural,99,Não se aplica,245.58,11.21,10.84,25.58,1.47
8500401,Suco ,99,Não se aplica,41.83,0.59,0.14,9.81,0.31
8500402,Suco de abacaxi ,99,Não se aplica,53.21,0.36,0.12,12.92,0.20
8500403,Suco de acerola ,99,Não se aplica,23.06,0.40,0.30,4.81,0.30
8500404,Suco de beterraba ,99,Não se aplica,30.77,0.81,0.12,7.11,0.76
8500405,Suco de cupuaçu ,99,Não se aplica,24.50,0.60,0.50,5.20,1.55
8500406,Suco de goiaba ,99,Não se aplica,62.28,0.37,0.14,15.62,0.79
8500407,Suco de laranja ,99,Não se aplica,41.83,0.59,0.14,9.81,0.31
8500408,Suco de laranja com banana ,99,Não se aplica,56.80,0.76,0.20,13.84,0.93
8500409,Suco de laranja e beterraba ,99,Não se aplica,30.77,0.81,0.12,7.11,0.76
8500410,Suco de laranja e cenoura ,99,Não se aplica,30.77,0.81,0.12,7.11,0.76
8500411,Suco de laranja cenoura e beterraba,99,Não se aplica,30.77,0.81,0.12,7.11,0.76
8500412,Suco de mamão ,99,Não se aplica,57.13,0.17,0.15,14.54,0.60
8500413,Suco de manga ,99,Não se aplica,50.86,0.11,0.06,13.08,0.30
8500414,Suco de maracujá ,99,Não se aplica,60.14,0.67,0.18,14.48,0.20
8500415,Suco de melão ,99,Não se aplica,31.79,0.65,0.16,8.00,0.42
8500416,Suco de morango ,99,Não se aplica,59.21,0.57,0.10,14.51,0.23
8500417,Suco de pêssego ,99,Não se aplica,53.99,0.27,0.02,13.92,0.60
8500418,Suco de pêssego em calda ,99,Não se aplica,53.99,0.27,0.02,13.92,0.60
8500501,Vitamina ,99,Não se aplica,92.78,2.47,2.31,16.39,0.62
8500503,Vitamina de banana ,99,Não se aplica,92.78,2.47,2.31,16.39,0.62
8500504,Vitamina de banana com aveia ,99,Não se aplica,108.46,3.06,2.54,19.20,1.15
8500505,Vitamina de mamão ,99,Não se aplica,80.59,2.42,2.34,12.95,0.38
8500506,Vitamina de abacate ,99,Não se aplica,100.19,2.74,4.64,12.80,1.34
8500507,Vitamina de morango ,99,Não se aplica,74.61,1.96,1.83,13.27,0.80
8500508,Vitamina mista,99,Não se aplica,83.16,1.81,1.65,16.20,0.77
8500509,Vitamina de maçã,99,Não se aplica,82.99,2.28,2.26,13.98,0.31
8500601,Refresco ,99,Não se aplica,46.81,-,-,11.92,0.20
8500602,Refresco de caju ,99,Não se aplica,46.81,-,-,11.92,0.20
8500603,Refresco de groselha ,99,Não se aplica,46.81,-,-,11.92,0.20
8500604,Refresco de laranja ,99,Não se aplica,46.81,-,-,11.92,0.20
8500605,Refresco de maracujá ,99,Não se aplica,46.81,-,-,11.92,0.20
8500606,Refresco de limão,99,Não se aplica,46.81,-,-,11.92,0.20
8500801,"Salada ou verdura cozida, exceto de fruta",99,Não se aplica,26.00,2.11,0.36,4.91,2.80
8500802,Salada de maionese ,99,Não se aplica,209.79,2.71,16.83,12.65,1.38
8500903,Pizza ,99,Não se aplica,281.20,14.60,11.35,29.82,1.74
8500904,Lasanha pronta light ,99,Não se aplica,158.63,10.78,7.31,12.34,1.11
8500905,Nhoque ,99,Não se aplica,190.54,9.31,13.18,8.49,0.26
8500906,Caneloni,99,Não se aplica,120.86,5.94,6.80,9.22,1.01
8500907,Capeleti ,99,Não se aplica,95.24,5.53,2.59,12.60,1.20
8500909,Ravioli ,99,Não se aplica,95.24,5.53,2.59,12.60,1.20
8500910,Calzone ,99,Não se aplica,245.75,12.83,9.85,25.80,1.18
8500913,Panqueca,99,Não se aplica,203.18,13.96,12.46,8.27,0.66
8500914,Pizza calabreza,99,Não se aplica,284.72,13.74,12.21,29.51,1.75
8500915,Pizza muçarela,99,Não se aplica,281.20,14.60,11.35,29.82,1.74
8500916,Pizza presunto,99,Não se aplica,284.72,13.74,12.21,29.51,1.75
8500917,Pizza portuguesa,99,Não se aplica,247.49,11.75,12.23,22.40,1.56
8500919,Macarronada,99,Não se aplica,120.59,6.22,2.79,17.42,1.25
8501004,Galeto ,99,Não se aplica,261.66,27.30,16.16,-,-
8501104,Costela,99,Não se aplica,365.00,22.60,29.79,-,-
8501202,Pipoca doce ou salgada ,99,Não se aplica,468.15,6.59,23.28,62.51,6.02
8501302,Café ,99,Não se aplica,1.00,0.12,0.02,0.47,0.47
8501303,Café com leite ,99,Não se aplica,31.44,1.72,1.69,2.57,0.24
8501304,Café tipo expresso,99,Não se aplica,2.44,0.12,0.01,0.77,0.21
8501305,Café tipo capuccino,99,Não se aplica,27.71,0.26,0.84,5.17,0.13
8501402,Milho cozido ,99,Não se aplica,160.14,3.32,7.18,25.11,4.25
8501502,Batata palito,99,Não se aplica,263.50,2.87,13.64,33.60,3.44
8501503,Batata palha,99,Não se aplica,545.70,5.24,35.24,54.52,4.53
8501902,Mungunzá ,99,Não se aplica,146.00,4.00,3.90,24.40,2.40
8501903,Canjica ,99,Não se aplica,146.00,4.00,3.90,24.40,2.40
8501904,Curau,99,Não se aplica,78.24,2.42,3.06,10.46,0.17
8502201,Farofa ,99,Não se aplica,406.00,2.10,9.10,80.30,7.80
8502301,"Mingau (fubá,  aveia, farinha, etc.) ",99,Não se aplica,78.24,2.42,3.06,10.46,0.17
8502401,Tacacá ,99,Não se aplica,16.00,2.00,0.60,0.40,-
8502501,Bolinho de coco ,99,Não se aplica,297.32,6.71,5.80,54.89,0.85
8502701,Risoto,99,Não se aplica,113.02,6.66,1.99,17.16,1.10
8502801,Vatapá ,99,Não se aplica,226.07,13.77,15.61,9.28,1.32
8502901,Farofa pronta ,99,Não se aplica,406.00,2.10,9.10,80.30,7.80
8503202,Caldo de carne ,99,Não se aplica,7.02,1.36,-,0.45,-
8503203,Caldo-de-feijão ,99,Não se aplica,75.50,4.78,1.77,10.33,2.20
8503204,Caldo de mocotó ,99,Não se aplica,7.02,1.36,-,0.45,-
8503501,Baião de dois,99,Não se aplica,136.00,6.20,3.20,20.40,5.10
8503801,Churrasco,99,Não se aplica,204.00,30.67,9.00,-,-
8504201,Sushi,99,Não se aplica,146.78,5.56,0.45,29.19,0.91
8504401,Salada de frutas ,99,Não se aplica,51.24,0.62,0.14,13.31,1.68
8504501,"Sopa (legumes, carne, etc.)",99,Não se aplica,28.78,1.63,0.78,3.81,0.64
8504801,Salpicão ,99,Não se aplica,202.85,14.26,14.41,3.93,0.55
8505201,Charuto de repolho,99,Não se aplica,84.91,9.63,1.30,8.75,1.20
8505401,Arroz à grega ,99,Não se aplica,92.01,2.17,1.69,17.47,1.00
8505501,Arrumadinho,99,Não se aplica,198.86,9.33,8.47,21.73,3.47
8505601,Bobó de camarão ,99,Não se aplica,72.10,2.63,4.42,5.48,0.15
8505701,"Caruru (quiabo, amendoim, castanha de caju, camarão seco, etc.)",99,Não se aplica,215.87,6.07,20.07,4.07,1.41
8505801,Cuscuz paulista ,99,Não se aplica,142.00,2.60,4.60,22.50,2.40
8505901,"Empadão (queijo, frango, camarão, palmito, etc.)",99,Não se aplica,153.96,7.89,7.91,12.47,1.03
8506001,Farofa de banana,99,Não se aplica,309.55,1.66,11.17,52.89,5.35
8506101,Feijão-tropeiro ,99,Não se aplica,198.86,9.33,8.47,21.73,3.47
8506201,Galinha com arroz ,99,Não se aplica,143.50,4.47,3.07,23.93,0.65
8506301,Galinhada ,99,Não se aplica,143.50,4.47,3.07,23.93,0.65
8506401,Moqueca baiana ,99,Não se aplica,130.13,13.62,7.54,1.66,0.17
8506501,Omelete ,99,Não se aplica,241.62,11.04,21.26,0.98,-
8506601,Pirão ,99,Não se aplica,119.65,8.05,5.76,8.90,0.75
8506701,Quibebe ,99,Não se aplica,36.39,0.72,1.92,4.90,1.10
8506801,Quiche,99,Não se aplica,282.73,10.34,20.44,13.85,0.56
8506901,Suflê ,99,Não se aplica,126.10,5.11,9.17,6.40,1.10
8507001,Tutu ,99,Não se aplica,123.76,5.41,1.64,22.34,4.04
8507101,Moqueca capixaba ,99,Não se aplica,100.52,14.34,3.66,1.75,0.18
8507201,Maniçoba ,99,Não se aplica,181.85,15.09,12.16,2.92,1.31
8507301,Caldo verde ,99,Não se aplica,94.92,3.53,2.90,14.19,2.14
8507401,Arroz de cuxá,99,Não se aplica,102.74,2.38,0.95,20.92,1.92
8507501,Angu à baiana,99,Não se aplica,125.34,9.01,5.75,8.87,0.31
8507601,Chocolate,99,Não se aplica,535.00,7.65,29.66,59.40,3.40
8507701,Gemada ,99,Não se aplica,134.79,3.80,7.47,13.52,-
8507801,Açaí com granola,99,Não se aplica,110.00,0.70,3.70,21.50,1.70
8507901,Suco orgânico ,99,Não se aplica,41.83,0.59,0.14,9.81,0.31
8507902,Suco de abacaxi orgânico ,99,Não se aplica,53.21,0.36,0.12,12.92,0.20
8507903,Suco de acerola orgânico ,99,Não se aplica,23.06,0.40,0.30,4.81,0.30
8507906,Suco de goiaba orgânico ,99,Não se aplica,62.28,0.37,0.14,15.62,0.79
8507907,Suco de laranja orgânico ,99,Não se aplica,41.83,0.59,0.14,9.81,0.31
8507911,Suco de laranja cenoura e beterraba orgânico ,99,Não se aplica,30.77,0.81,0.12,7.11,0.76
8507913,Suco de manga orgânico ,99,Não se aplica,50.86,0.11,0.06,13.08,0.30
8507914,Suco de maracujá orgânico ,99,Não se aplica,60.14,0.67,0.18,14.48,0.20
8507916,Suco de morango orgânico ,99,Não se aplica,59.21,0.57,0.10,14.51,0.23
8507917,Suco de pêssego orgânico ,99,Não se aplica,53.99,0.27,0.02,13.92,0.60
8507918,Suco de pêssego em calda orgânico ,99,Não se aplica,53.99,0.27,0.02,13.92,0.60
8508003,Pizza pronta light ,99,Não se aplica,255.57,14.60,8.45,29.82,1.74
8508004,Lasanha pronta light ,99,Não se aplica,144.33,10.93,5.67,12.34,1.11
8508012,Macarrão pronto light ,2,Cozido(a),189.86,5.65,7.18,25.54,1.16
8508017,Pizza portuguesa light,99,Não se aplica,229.62,11.75,10.21,22.40,1.56
8508101,Farofa pronta light em pacote,99,Não se aplica,406.00,2.10,9.10,80.30,7.80
8508301,Vaca atolada,99,Não se aplica,245.00,11.60,15.05,15.05,0.80
8508401,"Salada ou verdura crua, exceto de fruta",99,Não se aplica,18.00,0.88,0.20,3.92,1.20
8508403,Outros legumes cozidos,99,Não se aplica,60.50,1.24,0.14,14.12,2.53
8509801,Café da manha,99,Não se aplica,31.44,1.72,1.69,2.57,0.24
8570101,Prato de comida brasileira,99,Não se aplica,148.37,6.74,3.86,21.34,2.31
8570102,Prato de comida do nordeste,99,Não se aplica,129.21,6.49,2.66,19.48,2.33
8570103,Prato de comida do norte,99,Não se aplica,157.10,6.53,3.36,24.99,2.94
